name,artistIds,asciiName,attractionLights,availability,boosterTypes,borderColor,cardParts,colorIdentity,colorIndicator,colors,defense,duelDeck,edhrecRank,edhrecSaltiness,faceConvertedManaCost,faceFlavorName,faceManaValue,faceName,finishes,flavorName,flavorText,frameEffects,frameVersion,hand,hasAlternativeDeckLimit,hasContentWarning,hasFoil,hasNonFoil,isAlternative,isFullArt,isFunny,isOnlineOnly,isOversized,isPromo,isRebalanced,isReprint,isReserved,isStarter,isStorySpotlight,isTextless,isTimeshifted,keywords,language,layout,leadershipSkills,life,loyalty,manaCost,manaValue,originalPrintings,originalReleaseDate,originalText,originalType,otherFaceIds,power,printings,promoTypes,rarity,rebalancedPrintings,relatedCards,securityStamp,setCode,side,signature,sourceProducts,subsets,subtypes,supertypes,text,toughness,type,types,uuid,variations,watermark
Sacred Peaks,bec9ba7f-594e-4ff0-8172-9ec1fc909607,,,"arena, mtgo, paper",default,black,,"R, W",,,,,2141,0.07,,,,,"nonfoil, foil",,"Everyone is welcome in the floating Serran cities, though few but the most faithful attempt the ascent.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,,0,,,({T}: Add {R} or {W}.)\nSacred Peaks enters the battlefield tapped.,Land â€” Mountain Plains,,,DMU,,common,,,,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,"Mountain, Plains",,({T}: Add {R} or {W}.)\nSacred Peaks enters the battlefield tapped.,,Land â€” Mountain Plains,Land,c55cbc0d-ea04-5101-8f0c-d038a3472595,,
Shivan Reef,adad79bf-cd52-456a-b170-740ed8bff0fc,,,"arena, mtgo, paper",default,black,,"R, U",,,,,165,0.06,,,,,"nonfoil, foil",,The boiling seas around Shiv provided a welcome layer of protection for the reclaimed Mana Rig.,,2015,,,,True,True,,,,,,,,True,,,,,,,English,normal,,,,,0,,,{T}: Add {C}.\n{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.,Land,,,"10E, 9ED, APC, C20, C21, DDU, DMU, M15, ORI, PDMU, PHED, PRM, WC01, WC02",,rare,,,oval,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""393b7587-dff2-5130-aa00-3c72557ca0fc"", ""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae",,,,{T}: Add {C}.\n{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.,,Land,Land,6875db8f-16ae-58ad-8e6b-be7cd8e0965d,90ff98d7-1b4e-50e7-89c2-0064cd7112d2,
Sulfurous Springs,91d65465-e8a6-4a4e-8b0e-0e07466cfa0f,,,"arena, mtgo, paper",default,black,,"B, R",,,,,351,0.1,,,,,"nonfoil, foil",,"Everything is flammable in the Burning Isles, even the mana itself.",,2015,,,,True,True,,,,,,,,True,,,,,,,English,normal,,,,,0,,,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.,Land,,,"10E, 5ED, 6ED, 7ED, 9ED, DKM, DMU, ICE, LTC, PDMU, PRM, PTC, WC01, WC97",,rare,,,oval,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,,,{T}: Add {C}.\n{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.,,Land,Land,1c625990-9930-5f6c-ab1a-81b50f421300,01a11b62-380d-5ceb-8c9c-77c28f48498d,
Sunlit Marsh,8089db55-5105-47b0-8c64-f320e08c97f0,,,"arena, mtgo, paper",default,black,,"B, W",,,,,2065,0.1,,,,,"nonfoil, foil",,Even the poisoned land around the Stronghold blossomed with new life in the wake of the Great Mending.,,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,,0,,,({T}: Add {W} or {B}.)\nSunlit Marsh enters the battlefield tapped.,Land â€” Plains Swamp,,,DMU,,common,,,,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,"Plains, Swamp",,({T}: Add {W} or {B}.)\nSunlit Marsh enters the battlefield tapped.,,Land â€” Plains Swamp,Land,a906989d-db7c-5539-896d-7aa176790ddf,,
Tangled Islet,a5048cc7-438a-4378-98e4-da99b78e1db0,,,"arena, mtgo, paper",default,black,,"G, U",,,,,1276,0.03,,,,,"nonfoil, foil",,Many of Terisiare's islands are merely extensions of the root system of the Yavimaya magnigoth forests.,,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,,0,,,({T}: Add {G} or {U}.)\nTangled Islet enters the battlefield tapped.,Land â€” Forest Island,,,DMU,,common,,,,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae",,"Forest, Island",,({T}: Add {G} or {U}.)\nTangled Islet enters the battlefield tapped.,,Land â€” Forest Island,Land,b9a185a2-c687-5b00-b5f7-a1fb815c68ab,,
Thran Portal,e31f5891-08f7-4e5a-bac9-8b4570b8c1ab,,,"arena, mtgo, paper",default,black,,,,,,,4099,0.09,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,,0,,,"Thran Portal enters the battlefield tapped unless you control two or fewer other lands.\nAs Thran Portal enters the battlefield, choose a basic land type.\nThran Portal is the chosen type in addition to its other types.\nMana abilities of Thran Portal cos",Land â€” Gate,,,"DMU, PDMU, PRM",,rare,,,oval,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,Gate,,"Thran Portal enters the battlefield tapped unless you control two or fewer other lands.\nAs Thran Portal enters the battlefield, choose a basic land type.\nThran Portal is the chosen type in addition to its other types.\nMana abilities of Thran Portal cos",,Land â€” Gate,Land,bae7661f-7093-576d-a0b6-e4cc4e6fda36,8db190e7-e731-5997-a999-dcfa2ee9e7bb,
Wooded Ridgeline,0cd53596-1525-42af-83ae-ff02401311ee,,,"arena, mtgo, paper",default,black,,"G, R",,,,,1750,0.01,,,,,"nonfoil, foil",,"The power of long-forgotten empires still pulses in the earth of Dominaria, giving rise to strange, mana-rich pockets of growth.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,,0,,,({T}: Add {R} or {G}.)\nWooded Ridgeline enters the battlefield tapped.,Land â€” Mountain Forest,,,DMU,,common,,,,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae",,"Mountain, Forest",,({T}: Add {R} or {G}.)\nWooded Ridgeline enters the battlefield tapped.,,Land â€” Mountain Forest,Land,a55c6894-120c-5454-bc7d-8756438a281c,,
Yavimaya Coast,a5f8354a-8b51-4e59-96b2-0e3aeae4fa1d,,,"arena, mtgo, paper",default,black,,"G, U",,,,,175,0.07,,,,,"nonfoil, foil",,"As magnigoth trees expanded across the sea into Almaaz and New Argive, it became clear Yavimaya's borders were never confined by its coastline.",,2015,,,,True,True,,,,,,,,True,,,,,,,English,normal,,,,,0,,,{T}: Add {C}.\n{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.,Land,,,"10E, 9ED, APC, C19, C20, C21, DMU, M15, ORI, PDMU, PRM, WC02",,rare,,,oval,DMU,,,"{""foil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""d1dd4fe5-896a-5347-835e-a62367233c66"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""], ""nonfoil"": [""d01631ef-a954-5feb-b8cc-fdba0d46a80a"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,,,{T}: Add {C}.\n{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.,,Land,Land,045fcf34-ec03-55d7-963e-08bdcb296c09,82260831-cf64-5335-8ef8-8aa88eb9d0e2,
Serra Redeemer,553b2a73-780f-414b-b2d7-3b7888821082,,,"arena, mtgo, paper",,black,,W,,W,,,7407,0.19,,,,,"nonfoil, foil",,"""Heroism is neither a strong arm nor a divine destiny. It is the choice to stand unbowed against impossible odds.""",,2015,,,,True,True,,,,,,,,,,True,,,,Flying,English,normal,,,,{3}{W}{W},5,,,"Flying\nWhenever another creature with power 2 or less enters the battlefield under your control, put two +1/+1 counters on that creature.",Creature â€” Angel Soldier,,2,"DMU, PRM",,rare,,,oval,DMU,,,"{""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,"Angel, Soldier",,"Flying\nWhenever another creature with power 2 or less enters the battlefield under your control, put two +1/+1 counters on that creature.",4,Creature â€” Angel Soldier,Creature,c7eff468-154e-5848-b8a1-9b88080568f7,9d08f8c5-6c99-522a-8d01-318e6f5839d5,
Cosmic Epiphany,fee369ac-08b5-4a69-8ef8-f2b42b81e807,,,"arena, mtgo, paper",,black,,U,,U,,,11738,0.18,,,,,"nonfoil, foil",,"""All knowledge, past and future, is etched upon reality. Every answer we seek is out there, hidden only by the limits of our minds.""\nâ€”Jodah",,2015,,,,True,True,,,,,,,,,,True,,,,,English,normal,,,,{4}{U}{U},6,,,Draw cards equal to the number of instant and sorcery cards in your graveyard.,Sorcery,,,"DMU, PRM",,rare,,,oval,DMU,,,"{""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,,,Draw cards equal to the number of instant and sorcery cards in your graveyard.,,Sorcery,Sorcery,b2e212ad-d8c0-52ce-b2ff-f02facd4bd31,9312aaa2-e439-50da-b77b-bdfbe6d64150,
Tyrannical Pitlord,90332db2-aecb-4d79-917b-95cbeb8d0cb6,,,"arena, mtgo, paper",,black,,B,,B,,,16310,,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,True,,,,"Flying, Trample",English,normal,,,,{4}{B}{B},6,,,"Flying, trample\nAs Tyrannical Pitlord enters the battlefield, choose another creature you control.\nThe chosen creature gets +3/+3 and has flying.\nWhen Tyrannical Pitlord leaves the battlefield, sacrifice the chosen creature.",Creature â€” Demon,,6,"DMU, PRM",,rare,,,oval,DMU,,,"{""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,Demon,,"Flying, trample\nAs Tyrannical Pitlord enters the battlefield, choose another creature you control.\nThe chosen creature gets +3/+3 and has flying.\nWhen Tyrannical Pitlord leaves the battlefield, sacrifice the chosen creature.",6,Creature â€” Demon,Creature,9e7bdc2d-d4c6-5bc6-b084-dd671681a852,bea063ea-57d3-5987-a357-8f9152fcac4c,
Ragefire Hellkite,e17c2662-0491-47b2-bf1d-8c111a8ad3f8,,,"arena, mtgo, paper",,black,,R,,R,,,16320,,,,,,"nonfoil, foil",,"""Well, the good news is that sound wasn't the volcano erupting . . .""\nâ€”George, Coalition scout",,2015,,,,True,True,,,,,,,,,,True,,,,Flying,English,normal,,,,{4}{R}{R},6,,,"Flying\nWhenever Ragefire Hellkite attacks, you may sacrifice another creature. If you do, Ragefire Hellkite gains double strike until end of turn.",Creature â€” Dragon,,5,"DMU, PRM",,rare,,,oval,DMU,,,"{""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,Dragon,,"Flying\nWhenever Ragefire Hellkite attacks, you may sacrifice another creature. If you do, Ragefire Hellkite gains double strike until end of turn.",3,Creature â€” Dragon,Creature,5b2eac0a-56d8-5fca-9f99-0c8556176aab,2e5fe655-b8a4-5bc4-b55c-84eae66681f0,
Briar Hydra,d5053eb6-af72-47a0-b6e8-023cc3b9aefb,,,"arena, mtgo, paper",,black,,G,,G,,,12332,0.38,,,,,"nonfoil, foil",,Flora and fauna alike rose to Yavimaya's defense.,,2015,,,,True,True,,,,,,,,,,True,,,,"Domain, Trample",English,normal,,,,{5}{G},6,,,"Trample\nDomain â€” Whenever Briar Hydra deals combat damage to a player, put X +1/+1 counters on target creature you control, where X is the number of basic land types among lands you control.",Creature â€” Plant Hydra,,6,"DMU, PRM",,rare,,,oval,DMU,,,"{""nonfoil"": [""4584305b-2b1a-5ffd-a4b6-16a65d0985f7"", ""f5f30fc8-0b27-5c44-b9b1-43250ae3ebf1""]}",,"Plant, Hydra",,"Trample\nDomain â€” Whenever Briar Hydra deals combat damage to a player, put X +1/+1 counters on target creature you control, where X is the number of basic land types among lands you control.",6,Creature â€” Plant Hydra,Creature,5a8edb6d-3f60-5b77-847d-4cc87cecc89d,411ca805-9f0a-54f4-8873-5545ef62160f,
Abuelo's Awakening,699b24be-cde0-4da8-bc0f-7a3ecd60ab01,,,"arena, mtgo, paper",default,black,,W,,W,,,21269,,,,,,"nonfoil, foil",,"Quintorius touched the old poncho he'd found. A rush of magic condensed into an Echo, and wise Abuelo stepped forth.",,2015,,,,True,True,,,,,,,,,,,True,,,,English,normal,,,,{X}{3}{W},4,,,Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It's a 1/1 Spirit creature with flying in addition to its other types.,Sorcery,,,"LCI, PLCI",,rare,,,oval,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,Return target artifact or non-Aura enchantment card from your graveyard to the battlefield with X additional +1/+1 counters on it. It's a 1/1 Spirit creature with flying in addition to its other types.,,Sorcery,Sorcery,7a692863-f331-512c-8b66-9371923a1833,08dc4efb-1e2e-518d-bcb7-e22c36198727,
Acrobatic Leap,420561e6-7613-4404-8653-d38503b49f8a,,,"arena, mtgo, paper",default,black,,W,,W,,,20605,,,,,,"nonfoil, foil",,"As the cliff began to crumble, Wayta danced fearlessly across the tumbling stones, knowing Ajij would never let her fall.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{W},1,,,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,Instant,,,LCI,,common,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,,Instant,Instant,2d693bd9-e99e-5a40-a90c-b2bcc7bff2d4,,
Adaptive Gemguard,13a4bbe4-4e02-4403-8ecd-58f7744b994f,,,"arena, mtgo, paper",default,black,,W,,W,,,21242,,,,,,"nonfoil, foil",,"Left their own devices, gnomes reengineer their own devices.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{3}{W},4,,,Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on Adaptive Gemguard. Activate only as a sorcery.,Artifact Creature â€” Gnome,,3,LCI,,common,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,Gnome,,Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on Adaptive Gemguard. Activate only as a sorcery.,3,Artifact Creature â€” Gnome,"Artifact, Creature",6cebbfac-215c-5586-96b1-c2ed6164f4a8,,
Attentive Sunscribe,f7a750ec-c87e-4259-a686-434b4720f1a1,,,"arena, mtgo, paper",default,black,,W,,W,,,20364,,,,,,"nonfoil, foil",,Few humans are steady-handed enough to match a gnome's precision. Even the slightest change to a single line can wildly alter a glyph's meaning.,,2015,,,,True,True,,,,,,,,,,,,,,Scry,English,normal,,,,{1}{W},2,,,"Whenever Attentive Sunscribe becomes tapped, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",Artifact Creature â€” Gnome,,2,LCI,,common,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,Gnome,,"Whenever Attentive Sunscribe becomes tapped, scry 1. (Look at the top card of your library. You may put that card on the bottom.)",2,Artifact Creature â€” Gnome,"Artifact, Creature",072b67a9-271f-5708-ac99-93f749aa49c8,,
Bat Colony,c09ede88-a1b5-4a18-9895-dc8a965d28a5,,,"arena, mtgo, paper",default,black,,W,,W,,,24558,,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{2}{W},3,,,"When Bat Colony enters the battlefield, create a 1/1 black Bat creature token with flying for each mana from a Cave spent to cast it.\nWhenever a Cave enters the battlefield under your control, put a +1/+1 counter on target creature you control.",Enchantment,,,LCI,,uncommon,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,"When Bat Colony enters the battlefield, create a 1/1 black Bat creature token with flying for each mana from a Cave spent to cast it.\nWhenever a Cave enters the battlefield under your control, put a +1/+1 counter on target creature you control.",,Enchantment,Enchantment,4dc2e7b3-8049-54c1-bb93-3ad9a4e6350e,,
Clay-Fired Bricks // Cosmium Kiln,39d8411c-2187-426c-8ad3-d4f688b22db1,,,"arena, mtgo, paper",default,black,,W,,W,,,14191,,2,,2,Clay-Fired Bricks,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,"Craft, Transform",English,transform,,,,{1}{W},2,,,,,16466dc8-409b-5570-ab4d-29e847d1321c,,LCI,,uncommon,,,,LCI,a,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,"When Clay-Fired Bricks enters the battlefield, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. You gain 2 life.\nCraft with artifact {5}{W}{W} ({5}{W}{W}, Exile this artifact, Exile another artifact you control",,Artifact,Artifact,32480bfd-5be9-5eb9-989d-6650eb53c16e,,
Cosmium Blast,61a4c572-3d1b-4b71-aeb0-1a5a6b82c524,,,"arena, mtgo, paper",default,black,,W,,W,,,22426,,,,,,"nonfoil, foil",,Cosmium is the tangible essence of Chimil's power. The Oltec's cosmium-laced tattoos ensure that power can be called upon when needed.,,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W},2,,,Cosmium Blast deals 4 damage to target attacking or blocking creature.,Instant,,,LCI,,common,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,Cosmium Blast deals 4 damage to target attacking or blocking creature.,,Instant,Instant,8e33fd00-f101-5568-9096-f369858cbe16,,
Dauntless Dismantler,ed4f7e1b-4139-4e17-a671-442ce49eb775,,,"arena, mtgo, paper",default,black,,W,,W,,,9725,,,,,,"nonfoil, foil",,"To their dismay, Brazen Coalition explorers soon found that the Oltec were not impressed by cannons.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W},2,,,"Artifacts your opponents control enter the battlefield tapped.\n{X}{X}{W}, Sacrifice Dauntless Dismantler: Destroy each artifact with mana value X.",Creature â€” Human Artificer,,1,LCI,,uncommon,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,"Human, Artificer",,"Artifacts your opponents control enter the battlefield tapped.\n{X}{X}{W}, Sacrifice Dauntless Dismantler: Destroy each artifact with mana value X.",4,Creature â€” Human Artificer,Creature,36858ec4-1791-54ef-86c1-9d5c17aa8b72,,
Deconstruction Hammer,ed4f7e1b-4139-4e17-a671-442ce49eb775,,,"arena, mtgo, paper",default,black,,W,,W,,,20994,,,,,,"nonfoil, foil",,"""All that is made can be unmade. Chimil's light is the only constant.""\nâ€”Oltec artificers' creed",,2015,,,,True,True,,,,,,,,,,,,,,Equip,English,normal,,,,{W},1,,,"Equipped creature gets +1/+1 and has ""{3}, {T}, Sacrifice Deconstruction Hammer: Destroy target artifact or enchantment.""\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Artifact â€” Equipment,,,LCI,,common,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,Equipment,,"Equipped creature gets +1/+1 and has ""{3}, {T}, Sacrifice Deconstruction Hammer: Destroy target artifact or enchantment.""\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,Artifact â€” Equipment,Artifact,ea9697c6-0a8b-5467-a1c7-a8cd6a5ac370,,
Dusk Rose Reliquary,108aadbc-d635-4a0f-8944-70440e620f84,,,"arena, mtgo, paper",default,black,,W,,W,,,15815,,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,Ward,English,normal,,,,{W},1,,,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nWard {2}\nWhen Dusk Rose Reliquary enters the battlefield, exile target artifact or creature an opponent controls until Dusk Rose Reliquary leaves the battlefield.",Artifact,,,LCI,,uncommon,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,"As an additional cost to cast this spell, sacrifice an artifact or creature.\nWard {2}\nWhen Dusk Rose Reliquary enters the battlefield, exile target artifact or creature an opponent controls until Dusk Rose Reliquary leaves the battlefield.",,Artifact,Artifact,c5da07c5-0146-5aea-9976-eb7c21a01237,,
Envoy of Okinec Ahau,1885e6cb-c827-4896-994e-3d0a027d602f,,,"arena, mtgo, paper",default,black,,W,,W,,,23258,,,,,,"nonfoil, foil",,"Though wary of each other at first, the Malamet and the Oltec found a common enemy in the mycoids. They began to share glyph knowledge and other crafting secrets.",,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{2}{W},3,,,{4}{W}: Create a 1/1 colorless Gnome artifact creature token.,Creature â€” Cat Advisor,,3,LCI,,common,,,,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,"Cat, Advisor",,{4}{W}: Create a 1/1 colorless Gnome artifact creature token.,3,Creature â€” Cat Advisor,Creature,73281fe7-14de-5cec-a901-a19a618c0f38,,
Fabrication Foundry,7633403b-8eb3-4e02-9a81-bb5346552529,,,"arena, mtgo, paper",default,black,,W,,W,,,14983,,,,,,"nonfoil, foil",,,,2015,,,,True,True,,,,,,,,,,,,,,,English,normal,,,,{1}{W},2,,,"{T}: Add {W}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.\n{2}{W}, {T}, Exile one or more other artifacts you control with total mana value X: Return target artifact card with mana value X or less from your",Artifact,,,"LCI, PLCI",,rare,,,oval,LCI,,,"{""foil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00"", ""955c4191-c152-5025-9248-8c9e49fada0a""], ""nonfoil"": [""2eed0d45-cdbe-567f-a44a-045f17ecd55a"", ""83d3a4f6-e1f3-5249-b93f-a6e5f27bcf00""]}",,,,"{T}: Add {W}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.\n{2}{W}, {T}, Exile one or more other artifacts you control with total mana value X: Return target artifact card with mana value X or less from your",,Artifact,Artifact,1d237770-d605-5369-ad94-28cf9168114b,adff9ae1-933b-5b2a-a0a6-f19c1cf88cfb,
